Allele	BestAln	percScore
A_02:774	A_02:774	1
A_02:776	A_02:776	1
A_02:777	A_02:777	1
A_02:778	A_02:778	1
A_02:779	A_02:779	1
A_02:780	A_02:780	1
A_02:781	A_02:781	1
A_02:782	A_02:782	1
A_02:783	A_02:783	1
A_02:784	A_02:784	1
A_02:785	A_02:785	1
A_02:786	A_02:786	1
A_02:790	A_02:790	1
A_02:794	A_02:794	1
A_02:798	A_02:798	1
A_02:799	A_02:799	1
A_02:800	A_02:800	1
A_02:802	A_02:802	1
A_02:804	A_02:804	1
A_02:808	A_02:808	1
A_02:810	A_02:810	1
A_02:811	A_02:811	1
A_02:812	A_02:812	1
A_02:813	A_02:813	1
A_02:815	A_02:815	1
A_02:816	A_02:816	1
A_02:817	A_02:817	1
A_02:818	A_02:818	1
A_02:819	A_02:819	1
A_02:820	A_02:820	1
A_02:821	A_02:821	1
A_02:822	A_02:822	1
A_02:823	A_02:823	1
A_02:824	A_02:824	1
A_02:825	A_02:825	1
A_02:828	A_02:828	1
A_02:829	A_02:829	1
A_02:830	A_02:830	1
A_02:834	A_02:834	1
A_02:835	A_02:835	1
A_02:836	A_02:836	1
A_02:837	A_02:837	1
A_02:838	A_02:838	1
A_02:839	A_02:839	1
A_02:841	A_02:841	1
A_02:843	A_02:843	1
A_02:844	A_02:844	1
A_02:845	A_02:845	1
A_02:846	A_02:846	1
A_02:847	A_02:847	1
A_02:848	A_02:848	1
A_02:849	A_02:849	1
A_02:850	A_02:850	1
A_02:851	A_02:851	1
A_02:852	A_02:852	1
A_02:853	A_02:853	1
A_02:854	A_02:854	1
A_02:855	A_02:855	1
A_02:856	A_02:856	1
A_02:857	A_02:857	1
A_02:859	A_02:859	1
A_02:860	A_02:860	1
A_02:861	A_02:861	1
A_02:862	A_02:862	1
A_02:863	A_02:863	1
A_02:864	A_02:864	1
A_02:865	A_02:865	1
A_02:866	A_02:866	1
A_02:867	A_02:867	1
A_02:868	A_02:868	1
A_02:869	A_02:869	1
A_02:870	A_02:870	1
A_02:872	A_02:872	1
A_02:873	A_02:873	1
A_02:874	A_02:874	1
A_02:876	A_02:876	1
A_02:878	A_02:878	1
A_02:881	A_02:881	1
A_02:882	A_02:882	1
A_02:883	A_02:883	1
A_02:884	A_02:884	1
A_02:885	A_02:885	1
A_02:886	A_02:886	1
A_02:888	A_02:888	1
A_02:890	A_02:890	1
A_02:891	A_02:891	1
A_02:892	A_02:892	1
A_02:893	A_02:893	1
A_02:894	A_02:894	1
A_02:901	A_02:901	1
A_02:902	A_02:902	1
A_02:903	A_02:903	1
A_02:904	A_02:904	1
A_02:905	A_02:905	1
A_02:906	A_02:906	1
A_02:907	A_02:907	1
A_02:908	A_02:908	1
A_02:909	A_02:909	1
A_02:910	A_02:910	1
A_02:911	A_02:911	1
A_02:912	A_02:912	1
A_02:913	A_02:913	1
A_02:916	A_02:916	1
A_02:917	A_02:917	1
A_02:918	A_02:918	1
A_02:919	A_02:919	1
A_02:920	A_02:920	1
A_02:921	A_02:921	1
A_02:922	A_02:922	1
A_02:923	A_02:923	1
A_02:924	A_02:924	1
A_02:925	A_02:925	1
A_02:926	A_02:926	1
A_02:928	A_02:928	1
A_02:929	A_02:929	1
A_02:930	A_02:930	1
A_02:931	A_02:931	1
A_02:932	A_02:932	1
A_02:933	A_02:933	1
A_02:934	A_02:934	1
A_02:937	A_02:937	1
A_02:938	A_02:938	1
A_02:939	A_02:939	1
A_02:940	A_02:940	1
A_02:941	A_02:941	1
A_02:942	A_02:942	1
A_02:944	A_02:944	1
A_02:947	A_02:947	1
A_02:948	A_02:948	1
A_02:949	A_02:949	1
A_02:950	A_02:950	1
A_02:951	A_02:951	1
A_02:953	A_02:953	1
A_02:956	A_02:956	1
A_02:957	A_02:957	1
A_02:958	A_02:958	1
A_02:959	A_02:959	1
A_02:960	A_02:960	1
A_02:961	A_02:961	1
A_02:962	A_02:962	1
A_02:963	A_02:963	1
A_02:964	A_02:964	1
A_02:965	A_02:965	1
A_02:966	A_02:966	1
A_02:967	A_02:967	1
A_02:968	A_02:968	1
A_02:969	A_02:969	1
A_02:970	A_02:970	1
A_02:971	A_02:971	1
A_02:972	A_02:972	1
A_02:973	A_02:973	1
A_02:974	A_02:974	1
A_02:975	A_02:975	1
A_02:976	A_02:976	1
A_02:977	A_02:977	1
A_02:978	A_02:978	1
A_02:979	A_02:979	1
A_02:980	A_02:980	1
A_02:982	A_02:982	1
A_03:01	A_03:01	1
A_03:02	A_03:02	1
A_03:04	A_03:04	1
A_03:05	A_03:05	1
A_03:06	A_03:06	1
A_03:07	A_03:07	1
A_03:08	A_03:08	1
A_03:09	A_03:09	1
A_03:10	A_03:10	1
A_03:20	A_03:20	1
A_03:22	A_03:22	1
A_03:25	A_03:25	1
A_03:26	A_03:26	1
A_03:30	A_03:30	1
A_03:39	A_03:39	1
A_03:43	A_03:43	1
A_03:44	A_03:44	1
A_03:47	A_03:47	1
A_03:48	A_03:48	1
A_03:51	A_03:51	1
A_03:53	A_03:53	1
A_03:56	A_03:56	1
A_03:57	A_03:57	1
A_03:62	A_03:62	1
A_03:64	A_03:64	1
A_03:71	A_03:71	1
A_03:77	A_03:77	1
A_03:78	A_03:78	1
A_03:88	A_03:88	1
A_03:89	A_03:89	1
A_03:103	A_03:103	1
A_03:108	A_03:108	1
A_03:123	A_03:123	1
A_03:127	A_03:127	1
A_03:134	A_03:134	1
A_03:139	A_03:139	1
A_03:143	A_03:143	1
A_03:157	A_03:157	1
A_03:195	A_03:195	1
A_03:213	A_03:213	1
A_03:218	A_03:218	1
A_03:224	A_03:224	1
A_03:225	A_03:225	1
A_03:231	A_03:231	1
A_03:238	A_03:238	1
A_03:243	A_03:243	1
A_03:251	A_03:251	1
A_03:258	A_03:258	1
A_03:259	A_03:259	1
A_03:261	A_03:261	1
A_03:263	A_03:263	1
A_03:264	A_03:264	1
A_03:265	A_03:265	1
A_03:267	A_03:267	1
A_03:268	A_03:268	1
A_03:270	A_03:270	1
A_03:271	A_03:271	1
A_03:272	A_03:272	1
A_03:288	A_03:288	1
A_03:289	A_03:289	1
A_03:291	A_03:291	1
A_03:292	A_03:292	1
A_03:293	A_03:293	1
A_03:294	A_03:294	1
A_03:295	A_03:295	1
A_03:296	A_03:296	1
A_03:298	A_03:298	1
A_03:299	A_03:299	1
A_03:300	A_03:300	1
A_03:301	A_03:301	1
A_03:302	A_03:302	1
A_03:303	A_03:303	1
A_03:304	A_03:304	1
A_03:305	A_03:305	1
A_03:306	A_03:306	1
A_03:307	A_03:307	1
A_03:308	A_03:308	1
A_03:309	A_03:309	1
A_03:310	A_03:310	1
A_03:311	A_03:311	1
A_03:312	A_03:312	1
A_03:313	A_03:313	1
A_03:314	A_03:314	1
A_03:315	A_03:315	1
A_03:316	A_03:316	1
A_03:317	A_03:317	1
A_03:318	A_03:318	1
A_03:319	A_03:319	1
A_03:320	A_03:320	1
A_03:321	A_03:321	1
A_03:322	A_03:322	1
A_03:324	A_03:324	1
A_03:325	A_03:325	1
A_03:326	A_03:326	1
A_03:327	A_03:327	1
A_03:328	A_03:328	1
A_03:331	A_03:331	1
A_03:332	A_03:332	1
A_03:333	A_03:333	1
A_03:338	A_03:338	1
A_03:339	A_03:339	1
A_03:340	A_03:340	1
A_03:341	A_03:341	1
A_03:343	A_03:343	1
A_03:344	A_03:344	1
A_03:345	A_03:345	1
A_03:346	A_03:346	1
A_03:347	A_03:347	1
A_03:348	A_03:348	1
A_03:349	A_03:349	1
A_03:351	A_03:351	1
A_03:352	A_03:352	1
A_03:353	A_03:353	1
A_03:354	A_03:354	1
A_03:355	A_03:355	1
A_03:358	A_03:358	1
A_03:359	A_03:359	1
A_03:360	A_03:360	1
A_03:361	A_03:361	1
A_03:362	A_03:362	1
A_03:363	A_03:363	1
A_03:366	A_03:366	1
A_03:367	A_03:367	1
A_03:368	A_03:368	1
A_03:369	A_03:369	1
A_03:370	A_03:370	1
A_03:371	A_03:371	1
A_03:372	A_03:372	1
A_03:373	A_03:373	1
A_03:375	A_03:375	1
A_03:377	A_03:377	1
A_03:378	A_03:378	1
A_03:379	A_03:379	1
A_03:380	A_03:380	1
A_03:382	A_03:382	1
A_03:383	A_03:383	1
A_03:384	A_03:384	1
A_03:385	A_03:385	1
A_03:387	A_03:387	1
A_03:389	A_03:389	1
A_03:390	A_03:390	1
A_03:391	A_03:391	1
A_03:392	A_03:392	1
A_03:393	A_03:393	1
A_03:394	A_03:394	1
A_03:395	A_03:395	1
A_03:396	A_03:396	1
A_03:397	A_03:397	1
A_03:398	A_03:398	1
A_03:401	A_03:401	1
A_03:403	A_03:403	1
A_03:405	A_03:405	1
A_03:406	A_03:406	1
A_03:407	A_03:407	1
A_03:409	A_03:409	1
A_03:410	A_03:410	1
A_03:411	A_03:411	1
A_03:413	A_03:413	1
A_03:414	A_03:414	1
A_03:415	A_03:415	1
A_11:01	A_11:01	1
A_11:02	A_11:02	1
A_11:03	A_11:03	1
A_11:04	A_11:04	1
A_11:05	A_11:05	1
A_11:07	A_11:07	1
A_11:08	A_11:08	1
A_11:09	A_11:09	1
A_11:10	A_11:10	1
A_11:12	A_11:12	1
A_11:18	A_11:18	1
A_11:25	A_11:25	1
A_11:29	A_11:29	1
A_11:30	A_11:30	1
A_11:50	A_11:50	1
A_11:56	A_11:56	1
A_11:60	A_11:60	1
A_11:61	A_11:61	1
A_11:62	A_11:62	1
A_11:74	A_11:74	1
A_11:75	A_11:75	1
A_11:77	A_11:77	1
A_11:86	A_11:86	1
A_11:97	A_11:97	1
A_11:110	A_11:110	1
A_11:126	A_11:126	1
A_11:153	A_11:153	1
A_11:160	A_11:160	1
A_11:172	A_11:172	1
A_11:182	A_11:182	1
A_11:183	A_11:183	1
A_11:190	A_11:190	1
A_11:192	A_11:192	1
A_11:199	A_11:199	1
A_11:207	A_11:207	1
A_11:221	A_11:221	1
A_11:247	A_11:247	1
A_11:248	A_11:248	1
A_11:250	A_11:250	1
A_11:252	A_11:252	1
A_11:253	A_11:253	1
A_11:254	A_11:254	1
A_11:255	A_11:255	1
A_11:257	A_11:257	1
A_11:261	A_11:261	1
A_11:263	A_11:263	1
A_11:264	A_11:264	1
A_11:265	A_11:265	1
A_11:269	A_11:269	1
A_11:270	A_11:270	1
A_11:271	A_11:271	1
A_11:273	A_11:273	1
A_11:274	A_11:274	1
A_11:275	A_11:275	1
A_11:276	A_11:276	1
A_11:277	A_11:277	1
A_11:278	A_11:278	1
A_11:279	A_11:279	1
A_11:280	A_11:280	1
A_11:282	A_11:282	1
A_11:283	A_11:283	1
A_11:284	A_11:284	1
A_11:285	A_11:285	1
A_11:286	A_11:286	1
A_11:288	A_11:288	1
A_11:289	A_11:289	1
A_11:290	A_11:290	1
A_11:291	A_11:291	1
A_11:293	A_11:293	1
A_11:295	A_11:295	1
A_11:296	A_11:296	1
A_11:300	A_11:300	1
A_11:301	A_11:301	1
A_11:302	A_11:302	1
A_11:303	A_11:303	1
A_11:304	A_11:304	1
A_11:305	A_11:305	1
A_11:306	A_11:306	1
A_11:307	A_11:307	1
A_11:308	A_11:308	1
A_11:309	A_11:309	1
A_11:311	A_11:311	1
A_11:312	A_11:312	1
A_11:314	A_11:314	1
A_11:315	A_11:315	1
A_11:316	A_11:316	1
A_11:317	A_11:317	1
A_11:318	A_11:318	1
A_11:319	A_11:319	1
A_11:320	A_11:320	1
A_11:321	A_11:321	1
A_11:322	A_11:322	1
A_11:323	A_11:323	1
A_11:324	A_11:324	1
A_11:325	A_11:325	1
A_11:326	A_11:326	1
A_11:327	A_11:327	1
A_11:328	A_11:328	1
A_11:329	A_11:329	1
A_11:331	A_11:331	1
A_11:334	A_11:334	1
A_11:335	A_11:335	1
A_11:336	A_11:336	1
A_11:337	A_11:337	1
A_11:338	A_11:338	1
A_11:339	A_11:339	1
A_11:341	A_11:341	1
A_11:342	A_11:342	1
A_11:343	A_11:343	1
A_11:344	A_11:344	1
A_11:345	A_11:345	1
A_11:346	A_11:346	1
A_11:348	A_11:348	1
A_11:349	A_11:349	1
A_11:350	A_11:350	1
A_11:352	A_11:352	1
A_11:353	A_11:353	1
A_11:354	A_11:354	1
A_11:355	A_11:355	1
A_11:356	A_11:356	1
A_11:357	A_11:357	1
A_11:358	A_11:358	1
A_11:359	A_11:359	1
A_11:360	A_11:360	1
A_11:361	A_11:361	1
A_11:362	A_11:362	1
A_11:363	A_11:363	1
A_11:364	A_11:364	1
A_11:366	A_11:366	1
A_11:367	A_11:367	1
A_11:368	A_11:368	1
A_11:369	A_11:369	1
A_11:370	A_11:370	1
A_11:371	A_11:371	1
A_11:372	A_11:372	1
A_11:373	A_11:373	1
A_11:374	A_11:374	1
A_11:375	A_11:375	1
A_11:377	A_11:377	1
A_11:378	A_11:378	1
A_11:379	A_11:379	1
A_11:380	A_11:380	1
A_11:381	A_11:381	1
A_11:385	A_11:385	1
A_11:386	A_11:386	1
A_11:387	A_11:387	1
A_11:390	A_11:390	1
A_11:391	A_11:391	1
A_11:392	A_11:392	1
A_11:393	A_11:393	1
A_11:394	A_11:394	1
A_11:395	A_11:395	1
A_23:01	A_23:01	1
A_23:02	A_23:02	1
A_23:03	A_23:03	1
A_23:04	A_23:04	1
A_23:05	A_23:05	1
A_23:06	A_23:06	1
A_23:09	A_23:09	1
A_23:12	A_23:12	1
A_23:13	A_23:13	1
A_23:15	A_23:15	1
A_23:17	A_23:17	1
A_23:18	A_23:18	1
A_23:19	A_23:19	1
A_23:26	A_23:26	1
A_23:30	A_23:30	1
A_23:56	A_23:56	1
A_23:65	A_23:65	1
A_23:68	A_23:68	1
A_23:76	A_23:76	1
A_23:77	A_23:77	1
A_23:78	A_23:78	1
A_23:79	A_23:79	1
A_23:80	A_23:80	1
A_23:85	A_23:85	1
A_23:86	A_23:86	1
A_23:87	A_23:87	1
A_23:88	A_23:88	1
A_23:89	A_23:89	1
A_23:90	A_23:90	1
A_23:92	A_23:92	1
A_23:93	A_23:93	1
A_23:94	A_23:94	1
A_23:95	A_23:95	1
A_23:96	A_23:96	1
A_23:97	A_23:97	1
A_23:98	A_23:98	1
A_23:99	A_23:99	1
A_23:100	A_23:100	1
A_23:101	A_23:101	1
A_23:102	A_23:102	1
A_23:104	A_23:104	1
A_23:105	A_23:105	1
A_23:107	A_23:107	1
A_23:110	A_23:110	1
A_23:111	A_23:111	1
A_23:112	A_23:112	1
A_24:02	A_24:02	1
A_24:03	A_24:03	1
A_24:04	A_24:04	1
A_24:05	A_24:05	1
A_24:07	A_24:07	1
A_24:08	A_24:08	1
A_24:10	A_24:10	1
A_24:13	A_24:13	1
A_24:14	A_24:14	1
A_24:17	A_24:17	1
A_24:18	A_24:18	1
A_24:20	A_24:20	1
A_24:22	A_24:22	1
A_24:23	A_24:23	1
A_24:25	A_24:25	1
A_24:28	A_24:28	1
A_24:29	A_24:29	1
A_24:30	A_24:30	1
A_24:31	A_24:31	1
A_24:32	A_24:32	1
A_24:33	A_24:33	1
A_24:35	A_24:35	1
A_24:37	A_24:37	1
A_24:41	A_24:41	1
A_24:50	A_24:50	1
A_24:53	A_24:53	1
A_24:54	A_24:54	1
A_24:56	A_24:56	1
A_24:57	A_24:57	1
A_24:58	A_24:58	1
A_24:61	A_24:61	1
A_24:68	A_24:68	1
A_24:71	A_24:71	1
A_24:72	A_24:72	1
A_24:81	A_24:81	1
A_24:93	A_24:93	1
A_24:95	A_24:95	1
A_24:97	A_24:97	1
A_24:106	A_24:106	1
A_24:116	A_24:116	1
A_24:120	A_24:120	1
A_24:122	A_24:122	1
A_24:128	A_24:128	1
A_24:129	A_24:129	1
A_24:135	A_24:135	1
A_24:136	A_24:136	1
A_24:142	A_24:142	1
A_24:143	A_24:143	1
A_24:148	A_24:148	1
A_24:152	A_24:152	1
A_24:207	A_24:207	1
A_24:208	A_24:208	1
A_24:215	A_24:215	1
A_24:225	A_24:225	1
A_24:233	A_24:233	1
A_24:234	A_24:234	1
A_24:248	A_24:248	1
A_24:280	A_24:280	1
A_24:293	A_24:293	1
A_24:302	A_24:302	1
A_24:310	A_24:310	1
A_24:314	A_24:314	1
A_24:321	A_24:321	1
A_24:331	A_24:331	1
A_24:341	A_24:341	1
A_24:352	A_24:352	1
A_24:355	A_24:355	1
A_24:356	A_24:356	1
A_24:358	A_24:358	1
A_24:361	A_24:361	1
A_24:362	A_24:362	1
A_24:363	A_24:363	1
A_24:364	A_24:364	1
A_24:367	A_24:367	1
A_24:368	A_24:368	1
A_24:369	A_24:369	1
A_24:371	A_24:371	1
A_24:372	A_24:372	1
A_24:373	A_24:373	1
A_24:387	A_24:387	1
A_24:397	A_24:397	1
A_24:398	A_24:398	1
A_24:399	A_24:399	1
A_24:400	A_24:400	1
A_24:401	A_24:401	1
A_24:402	A_24:402	1
A_24:403	A_24:403	1
A_24:404	A_24:404	1
A_24:405	A_24:405	1
A_24:406	A_24:406	1
A_24:407	A_24:407	1
A_24:409	A_24:409	1
A_24:410	A_24:410	1
A_24:411	A_24:411	1
A_24:412	A_24:412	1
A_24:414	A_24:414	1
